"country";"Year";"GDP growth (annual %)"
"Serbia";1964;NA
"Serbia and Montenegro";1964;NA
"Slovakia";1964;NA
"Slovenia";1964;NA
"Spain";1964;5,30851024557151
"Sweden";1964;6,82116450044803
"Switzerland";1964;NA
"Turkey";1964;5,45905679838097
"Ukraine";1964;NA
"United Kingdom";1964;5,53365938602349
"Yugoslavia";1964;NA
"Albania";1965;NA
"Andorra";1965;NA
"Armenia";1965;NA
"Australia";1965;5,98350598919795
"Austria";1965;3,48017491799556
"Azerbaijan";1965;NA
"Belarus";1965;NA
"Belgium";1965;3,56065983986036
"Bosnia and Herzegovina";1965;NA
"Bulgaria";1965;NA
"Croatia";1965;NA
"Cyprus";1965;NA
"Czech Republic";1965;NA
"Denmark";1965;4,55525481407106
"Estonia";1965;NA
"Finland";1965;5,30285780228277
"France";1965;4,86150769580638
"Georgia";1965;NA
"Germany";1965;NA
"Greece";1965;10,7680105057905
"Hungary";1965;NA
"Iceland";1965;7,37172929870715
"Ireland";1965;NA
"Israel";1965;9,09396559916497
"Italy";1965;3,26802371964163
"Latvia";1965;NA
"Lithuania";1965;NA
"Luxembourg";1965;-0,734933604480986
"Macedonia";1965;NA
"Malta";1965;NA
"Moldova";1965;NA
"Monaco";1965;NA
"Montenegro";1965;NA
"Morocco";1965;NA
"Netherlands";1965;8,6430949357501
"Norway";1965;5,28560880055218
"Poland";1965;NA
"Portugal";1965;7,46898852994373
"Romania";1965;NA
"Russia";1965;NA
"San Marino";1965;NA
"Serbia";1965;NA
"Serbia and Montenegro";1965;NA
"Slovakia";1965;NA
"Slovenia";1965;NA
"Spain";1965;6,253134898985
"Sweden";1965;3,82150758550968
"Switzerland";1965;NA
"Turkey";1965;2,82352954343837
"Ukraine";1965;NA
"United Kingdom";1965;2,14217654354569
"Yugoslavia";1965;NA
"Albania";1966;NA
"Andorra";1966;NA
"Armenia";1966;NA
"Australia";1966;2,38245842259472
"Austria";1966;5,64286141093278
"Azerbaijan";1966;NA
"Belarus";1966;NA
"Belgium";1966;3,15589498173408
"Bosnia and Herzegovina";1966;NA
"Bulgaria";1966;NA
"Croatia";1966;NA
"Cyprus";1966;NA
"Czech Republic";1966;NA
"Denmark";1966;2,74091010903237
"Estonia";1966;NA
"Finland";1966;2,3728230152817
"France";1966;5,25183704566086
"Georgia";1966;7,53563129431707
"Germany";1966;NA
"Greece";1966;6,49450234707547
"Hungary";1966;NA
"Iceland";1966;8,73593347606989
"Ireland";1966;NA
"Israel";1966;-0,0796447724232223
"Italy";1966;5,98479422519729
"Latvia";1966;NA
"Lithuania";1966;NA
"Luxembourg";1966;1,10590411235907
"Macedonia";1966;NA
"Malta";1966;NA
"Moldova";1966;NA
"Monaco";1966;NA
"Montenegro";1966;NA
"Morocco";1966;NA
"Netherlands";1966;2,74110433455463
"Norway";1966;3,78651325489734
"Poland";1966;NA
"Portugal";1966;4,0779094339812
"Romania";1966;NA
"Russia";1966;NA
"San Marino";1966;NA
"Serbia";1966;NA
"Serbia and Montenegro";1966;NA
"Slovakia";1966;NA
"Slovenia";1966;NA
"Spain";1966;7,24606030950785
"Sweden";1966;2,09084428949741
"Switzerland";1966;NA
"Turkey";1966;11,2128150353514
"Ukraine";1966;NA
"United Kingdom";1966;1,57310041405223
"Yugoslavia";1966;NA
"Albania";1967;NA
"Andorra";1967;NA
"Armenia";1967;NA
"Australia";1967;6,30262019041623
"Austria";1967;3,0080477977549
"Azerbaijan";1967;NA
"Belarus";1967;NA
"Belgium";1967;3,86814694690112
"Bosnia and Herzegovina";1967;NA
"Bulgaria";1967;NA
"Croatia";1967;NA
"Cyprus";1967;NA
"Czech Republic";1967;NA
"Denmark";1967;5,5303700075201
"Estonia";1967;NA
"Finland";1967;2,16882888287419
"France";1967;4,92114891528463
"Georgia";1967;6,24999954351621
"Germany";1967;NA
"Greece";1967;5,66948546671586
"Hungary";1967;NA
"Iceland";1967;-1,26726186273838
"Ireland";1967;NA
"Israel";1967;2,99502016577178
"Italy";1967;7,17861246556171
"Latvia";1967;NA
"Lithuania";1967;NA
"Luxembourg";1967;0,216730811573271
"Macedonia";1967;NA
"Malta";1967;NA
"Moldova";1967;NA
"Monaco";1967;NA
"Montenegro";1967;NA
"Morocco";1967;10,0288413599463
"Netherlands";1967;5,28001474697683
"Norway";1967;6,25607900635556
"Poland";1967;NA
"Portugal";1967;7,54448252894966
"Romania";1967;NA
"Russia";1967;NA
"San Marino";1967;NA
"Serbia";1967;NA
"Serbia and Montenegro";1967;NA
"Slovakia";1967;NA
"Slovenia";1967;NA
"Spain";1967;4,34033841707489
"Sweden";1967;3,3653885828444
"Switzerland";1967;NA
"Turkey";1967;4,73251024393741
"Ukraine";1967;NA
"United Kingdom";1967;2,78647464167507
"Yugoslavia";1967;NA
"Albania";1968;NA
"Andorra";1968;NA
"Armenia";1968;NA
"Australia";1968;5,09581380047702
"Austria";1968;4,47231278246065
"Azerbaijan";1968;NA
"Belarus";1968;NA
"Belgium";1968;4,19412962494732
"Bosnia and Herzegovina";1968;NA
"Bulgaria";1968;NA
"Croatia";1968;NA
"Cyprus";1968;NA
"Czech Republic";1968;NA
"Denmark";1968;5,55307657638726
"Estonia";1968;NA
"Finland";1968;2,30328998355674
"France";1968;4,49130888579006
"Georgia";1968;4,4563348138954
"Germany";1968;NA
"Greece";1968;7,20371890047187
"Hungary";1968;NA
"Iceland";1968;-5,47490634604691
"Ireland";1968;NA
"Israel";1968;16,2419568132625
"Italy";1968;6,54455465470546
"Latvia";1968;NA
"Lithuania";1968;NA
"Luxembourg";1968;4,18387242679029
"Macedonia";1968;NA
"Malta";1968;NA
"Moldova";1968;NA
"Monaco";1968;NA
"Montenegro";1968;NA
"Morocco";1968;9,89173930643229
"Netherlands";1968;6,41613403990091
"Norway";1968;2,25987552819262
"Poland";1968;NA
"Portugal";1968;8,8755092337672
"Romania";1968;NA
"Russia";1968;NA
"San Marino";1968;NA
"Serbia";1968;NA
"Serbia and Montenegro";1968;NA
"Slovakia";1968;NA
"Slovenia";1968;NA
"Spain";1968;6,59702013758312
"Sweden";1968;3,63850566422768
"Switzerland";1968;NA
"Turkey";1968;6,77799601038116
"Ukraine";1968;NA
"United Kingdom";1968;5,44108343766115
"Yugoslavia";1968;NA
"Albania";1969;NA
"Andorra";1969;NA
"Armenia";1969;NA
"Australia";1969;7,04432932141759
"Austria";1969;6,27586716607024
"Azerbaijan";1969;NA
"Belarus";1969;NA
"Belgium";1969;6,62979979529467
"Bosnia and Herzegovina";1969;NA
"Bulgaria";1969;NA
"Croatia";1969;NA
"Cyprus";1969;NA
"Czech Republic";1969;NA
"Denmark";1969;6,50924838489951
"Estonia";1969;NA
"Finland";1969;9,59328778480035
"France";1969;7,10947534485236
"Georgia";1969;4,77814972509398
"Germany";1969;NA
"Greece";1969;11,5636672907284
"Hungary";1969;NA
"Iceland";1969;2,37458802719068
"Ireland";1969;NA
"Israel";1969;13,5657035064126
"Italy";1969;6,09805999558601
"Latvia";1969;NA
"Lithuania";1969;NA
"Luxembourg";1969;9,97285794333051
"Macedonia";1969;NA
"Malta";1969;NA
"Moldova";1969;NA
"Monaco";1969;NA
"Montenegro";1969;NA
"Morocco";1969;8,36216535667576
"Netherlands";1969;6,42944907759089
"Norway";1969;4,50461145559137
"Poland";1969;NA
"Portugal";1969;2,12074116169632
"Romania";1969;NA
"Russia";1969;NA
"San Marino";1969;NA
"Serbia";1969;NA
"Serbia and Montenegro";1969;NA
"Slovakia";1969;NA
"Slovenia";1969;NA
"Spain";1969;8,90701555527096
"Sweden";1969;5,00907521487679
"Switzerland";1969;NA
"Turkey";1969;4,0811456208947
"Ukraine";1969;NA
"United Kingdom";1969;1,92409683469894
"Yugoslavia";1969;NA
"Albania";1970;NA
"Andorra";1970;NA
"Armenia";1970;NA
"Australia";1970;7,17218657627514
"Austria";1970;6,32114263234969
"Azerbaijan";1970;NA
"Belarus";1970;NA
"Belgium";1970;5,58285828431475
"Bosnia and Herzegovina";1970;NA
"Bulgaria";1970;NA
"Croatia";1970;NA
"Cyprus";1970;NA
"Czech Republic";1970;NA
"Denmark";1970;1,59684180463518
"Estonia";1970;NA
"Finland";1970;4,81373679601094
"France";1970;6,10867981285152
"Georgia";1970;12,0521162460369
"Germany";1970;NA
"Greece";1970;8,9305803760811
"Hungary";1970;NA
"Iceland";1970;10,4246248068653
"Ireland";1970;NA
"Israel";1970;-0,759668528843989
"Italy";1970;5,26869297920993
"Latvia";1970;NA
"Lithuania";1970;NA
"Luxembourg";1970;4,50704377665998
"Macedonia";1970;NA
"Malta";1970;NA
"Moldova";1970;NA
"Monaco";1970;NA
"Montenegro";1970;NA
"Morocco";1970;4,71346037552107
"Netherlands";1970;6,14018164814382
"Norway";1970;1,94330050548346
"Poland";1970;NA
"Portugal";1970;12,6126054618915
"Romania";1970;NA
"Russia";1970;NA
"San Marino";1970;NA
"Serbia";1970;NA
"Serbia and Montenegro";1970;NA
"Slovakia";1970;NA
"Slovenia";1970;NA
"Spain";1970;4,29063926798075
"Sweden";1970;7,28920626049208
"Switzerland";1970;NA
"Turkey";1970;3,2335089729326
"Ukraine";1970;NA
"United Kingdom";1970;3,77118799966752
"Yugoslavia";1970;NA
"Albania";1971;NA
"Andorra";1971;4,64946536081887
"Armenia";1971;NA
"Australia";1971;4,00368353437398
"Austria";1971;5,11496858499562
"Azerbaijan";1971;NA
"Belarus";1971;NA
"Belgium";1971;3,98582711048847
"Bosnia and Herzegovina";1971;NA
"Bulgaria";1971;NA
"Croatia";1971;NA
"Cyprus";1971;NA
"Czech Republic";1971;NA
"Denmark";1971;3,00499557421739
"Estonia";1971;NA
"Finland";1971;2,35692135759953
"France";1971;5,31671589688149
"Georgia";1971;2,47093612493619
"Germany";1971;3,13269973811248
"Greece";1971;7,84117754740667
"Hungary";1971;NA
"Iceland";1971;13,0608376444948
"Ireland";1971;3,46988886197666
"Israel";1971;10,9510711306663
"Italy";1971;1,81810793366802
"Latvia";1971;NA
"Lithuania";1971;NA
"Luxembourg";1971;2,66723224202552
"Macedonia";1971;NA
"Malta";1971;2,4539936122783
"Moldova";1971;NA
"Monaco";1971;5,22806002428649
"Montenegro";1971;NA
"Morocco";1971;5,59689365914973
"Netherlands";1971;4,31698036511436
"Norway";1971;5,67240747526567
"Poland";1971;NA
"Portugal";1971;6,63165299963858
"Romania";1971;NA
"Russia";1971;NA
"San Marino";1971;NA
"Serbia";1971;NA
"Serbia and Montenegro";1971;NA
"Slovakia";1971;NA
"Slovenia";1971;NA
"Spain";1971;4,64947360429215
"Sweden";1971;0,944646245715859
"Switzerland";1971;4,07544243381166
"Turkey";1971;5,56669450058789
"Ukraine";1971;NA
"United Kingdom";1971;3,50471750518216
"Yugoslavia";1971;NA
"Albania";1972;NA
"Andorra";1972;8,14974348860618
"Armenia";1972;NA
"Australia";1972;3,91252352957896
"Austria";1972;6,2078610864111
"Azerbaijan";1972;NA
"Belarus";1972;NA
"Belgium";1972;5,29560474284025
"Bosnia and Herzegovina";1972;NA
"Bulgaria";1972;NA
"Croatia";1972;NA
"Cyprus";1972;NA
"Czech Republic";1972;NA
"Denmark";1972;3,92938534116061
"Estonia";1972;NA
"Finland";1972;7,73548550195038
"France";1972;4,51137401861739
"Georgia";1972;2,83687380741301
"Germany";1972;4,30034133420232
"Greece";1972;10,1601511810415
"Hungary";1972;NA
"Iceland";1972;6,17733434870895
"Ireland";1972;6,48980754705791
"Israel";1972;12,1465545761748
"Italy";1972;3,69048582478699
"Latvia";1972;NA
"Lithuania";1972;NA
"Luxembourg";1972;6,59819553699698
"Macedonia";1972;NA
"Malta";1972;5,83832702652158
"Moldova";1972;NA
"Monaco";1972;4,6483096159033
"Montenegro";1972;NA
"Morocco";1972;2,4372373471504
"Netherlands";1972;3,5338744094054
"Norway";1972;5,33062591594195
"Poland";1972;NA
"Portugal";1972;8,01569570155887
"Romania";1972;NA
"Russia";1972;NA
"San Marino";1972;NA
"Serbia";1972;NA
"Serbia and Montenegro";1972;NA
"Slovakia";1972;NA
"Slovenia";1972;NA
"Spain";1972;8,14974579127789
"Sweden";1972;2,28873879379827
"Switzerland";1972;3,2005089657621
"Turkey";1972;7,42578832564243
"Ukraine";1972;NA
"United Kingdom";1972;4,32166761525016
"Yugoslavia";1972;NA
"Albania";1973;NA
"Andorra";1973;7,78846720294035
"Armenia";1973;NA
"Australia";1973;2,61372315111119
"Austria";1973;4,89043531715288
"Azerbaijan";1973;NA
"Belarus";1973;NA
"Belgium";1973;6,38170195750001
"Bosnia and Herzegovina";1973;NA
"Bulgaria";1973;NA
"Croatia";1973;NA
"Cyprus";1973;NA
"Czech Republic";1973;NA
"Denmark";1973;4,09294609206725
"Estonia";1973;NA
"Finland";1973;6,98382784475125
"France";1973;6,34458067469789
"Georgia";1973;6,48276154621466
"Germany";1973;4,77748689217385
"Greece";1973;8,09237809237808
"Hungary";1973;NA
"Iceland";1973;6,80600977389774
"Ireland";1973;4,72142854002149
"Israel";1973;5,58746385680121
"Italy";1973;7,12586230436492
"Latvia";1973;NA
"Lithuania";1973;NA
"Luxembourg";1973;8,31267451290276
"Macedonia";1973;NA
"Malta";1973;4,14613837325946
"Moldova";1973;NA
"Monaco";1973;6,55375750887563
"Montenegro";1973;NA
"Morocco";1973;3,55931083191807
"Netherlands";1973;5,44422298483258
"Norway";1973;4,53291884569511
"Poland";1973;NA
"Portugal";1973;11,2006720107906
"Romania";1973;NA
"Russia";1973;NA
"San Marino";1973;NA
"Serbia";1973;NA
"Serbia and Montenegro";1973;NA
"Slovakia";1973;NA
"Slovenia";1973;NA
"Spain";1973;7,78846536076689
"Sweden";1973;3,96798115417454
"Switzerland";1973;3,04990729882819
"Turkey";1973;3,26233451840511
"Ukraine";1973;NA
"United Kingdom";1973;6,52384843843141
"Yugoslavia";1973;NA
"Albania";1974;NA
"Andorra";1974;5,61878972962955
"Armenia";1974;NA
"Australia";1974;4,10336216123119
"Austria";1974;3,94213807104376
"Azerbaijan";1974;NA
"Belarus";1974;NA
"Belgium";1974;4,56525797284306
"Bosnia and Herzegovina";1974;NA
"Bulgaria";1974;NA
"Croatia";1974;NA
"Cyprus";1974;NA
"Czech Republic";1974;NA
"Denmark";1974;-1,12239425036076
"Estonia";1974;NA
"Finland";1974;3,23653304028531
"France";1974;4,30091914308284
"Georgia";1974;8,80829341015195
"Germany";1974;0,890068740587211
"Greece";1974;-6,43824074182874
"Hungary";1974;NA
"Iceland";1974;5,70629210353711
"Ireland";1974;4,26023086350391
"Israel";1974;6,4761611546005
"Italy";1974;5,50014110132227
"Latvia";1974;NA
"Lithuania";1974;NA
"Luxembourg";1974;4,21246899346824
"Macedonia";1974;NA
"Malta";1974;10,0364039597072
"Moldova";1974;NA
"Monaco";1974;4,47461105052211
"Montenegro";1974;NA
"Morocco";1974;5,59604994452371
"Netherlands";1974;3,43871786071904
"Norway";1974;3,92301020197432
"Poland";1974;NA
"Portugal";1974;1,14285932449492
"Romania";1974;NA
"Russia";1974;NA
"San Marino";1974;NA
"Serbia";1974;NA
"Serbia and Montenegro";1974;NA
"Slovakia";1974;NA
"Slovenia";1974;NA
"Spain";1974;5,61878581441493
"Sweden";1974;3,19819564584239
"Switzerland";1974;1,45490800096543
"Turkey";1974;5,59447440269336
"Ukraine";1974;NA
"United Kingdom";1974;-2,4844040523141
"Yugoslavia";1974;NA
"Albania";1975;NA
"Andorra";1975;0,542205658763677
"Armenia";1975;NA
"Australia";1975;1,34991678730046
"Austria";1975;-0,363735434053538
"Azerbaijan";1975;NA
"Belarus";1975;NA
"Belgium";1975;-1,96594156584821
"Bosnia and Herzegovina";1975;NA
"Bulgaria";1975;NA
"Croatia";1975;NA
"Cyprus";1975;NA
"Czech Republic";1975;NA
"Denmark";1975;-1,45664493601456
"Estonia";1975;NA
"Finland";1975;1,80489827726724
"France";1975;-0,959884746223096
"Georgia";1975;7,38094530055061
"Germany";1975;-0,866738894227723
"Greece";1975;6,36680874604197
"Hungary";1975;NA
"Iceland";1975;0,646155033497564
"Ireland";1975;5,65664476085033
"Israel";1975;3,24281987463699
"Italy";1975;-2,09016291535852
"Latvia";1975;NA
"Lithuania";1975;NA
"Luxembourg";1975;-6,57137138724029
"Macedonia";1975;NA
"Malta";1975;19,5600808646514
"Moldova";1975;NA
"Monaco";1975;-0,972637493748465
"Montenegro";1975;NA
"Morocco";1975;7,55822156130436
"Netherlands";1975;0,00202886228375121
"Norway";1975;4,95214778544401
"Poland";1975;NA
"Portugal";1975;-4,34763054504394
"Romania";1975;NA
"Russia";1975;NA
"San Marino";1975;NA
"Serbia";1975;NA
"Serbia and Montenegro";1975;NA
"Slovakia";1975;NA
"Slovenia";1975;NA
"Spain";1975;0,542203214009334
"Sweden";1975;2,55286264270535
"Switzerland";1975;-7,28317456437819
"Turkey";1975;7,17411268977106
"Ukraine";1975;NA
"United Kingdom";1975;-1,47364954200184
"Yugoslavia";1975;NA
"Albania";1976;NA
"Andorra";1976;3,30378704950793
"Armenia";1976;NA
"Australia";1976;2,58769620026857
"Austria";1976;4,57844543332115
"Azerbaijan";1976;NA
"Belarus";1976;NA
"Belgium";1976;5,65274593317993
"Bosnia and Herzegovina";1976;NA
"Bulgaria";1976;NA
"Croatia";1976;NA
"Cyprus";1976;20,2662921880826
"Czech Republic";1976;NA
"Denmark";1976;5,92460618689674
"Estonia";1976;NA
"Finland";1976;0,344382485474924
"France";1976;4,35675890276836
"Georgia";1976;6,09756423426711
"Germany";1976;4,94925837665457
"Greece";1976;6,85189823595975
"Hungary";1976;NA
"Iceland";1976;5,95936756375369
"Ireland";1976;1,3948074205731
"Israel";1976;0,322503037395052
"Italy";1976;7,12538513712093
"Latvia";1976;NA
"Lithuania";1976;NA
"Luxembourg";1976;2,53433511732875
"Macedonia";1976;NA
"Malta";1976;17,0170895648017
"Moldova";1976;NA
"Monaco";1976;4,41162878210963
"Montenegro";1976;NA
"Morocco";1976;10,8127813441382
"Netherlands";1976;4,45630965160997
"Norway";1976;5,8253934592605
"Poland";1976;NA
"Portugal";1976;6,90023041389311
"Romania";1976;NA
"Russia";1976;NA
"San Marino";1976;NA
"Serbia";1976;NA
"Serbia and Montenegro";1976;NA
"Slovakia";1976;NA
"Slovenia";1976;NA
"Spain";1976;3,30379150489574
"Sweden";1976;1,05810487661601
"Switzerland";1976;-1,40367618715264
"Turkey";1976;10,4611795563238
"Ukraine";1976;NA
"United Kingdom";1976;2,91026625694681
"Yugoslavia";1976;NA
"Albania";1977;NA
"Andorra";1977;2,83857556610046
"Armenia";1977;NA
"Australia";1977;3,59742756746006
"Austria";1977;5,07998059425915
"Azerbaijan";1977;NA
"Belarus";1977;NA
"Belgium";1977;0,626154854021308
"Bosnia and Herzegovina";1977;NA
"Bulgaria";1977;NA
"Croatia";1977;NA
"Cyprus";1977;16,3620009517149
"Czech Republic";1977;NA
"Denmark";1977;1,87029103033571
"Estonia";1977;NA
"Finland";1977;0,239510829311158
"France";1977;3,46431200428788
"Georgia";1977;6,89655016091213
"Germany";1977;3,34721812001672
"Greece";1977;2,94100169684171
"Hungary";1977;NA
"Iceland";1977;8,82227717865716
"Ireland";1977;8,21130051681
"Israel";1977;1,03529896318599
"Italy";1977;2,56050084476698
"Latvia";1977;NA
"Lithuania";1977;NA
"Luxembourg";1977;1,56977456645151
"Macedonia";1977;NA
"Malta";1977;12,1841698013342
"Moldova";1977;NA
"Monaco";1977;3,55323608267122
"Montenegro";1977;NA
"Morocco";1977;6,05916767916479
"Netherlands";1977;2,52044027918959
"Norway";1977;4,16074732242862
"Poland";1977;NA
"Portugal";1977;5,602597312963
"Romania";1977;NA
"Russia";1977;NA
"San Marino";1977;NA
"Serbia";1977;NA
"Serbia and Montenegro";1977;NA
"Slovakia";1977;NA
"Slovenia";1977;NA
"Spain";1977;2,83857436036729
"Sweden";1977;-1,59625856634133
"Switzerland";1977;2,43365229944503
"Turkey";1977;3,40666980449156
"Ukraine";1977;NA
"United Kingdom";1977;2,45775048096047
"Yugoslavia";1977;NA
"Albania";1978;NA
"Andorra";1978;1,46300017893397
"Armenia";1978;NA
"Australia";1978;0,896879845528218
"Austria";1978;-0,210653695162677
"Azerbaijan";1978;NA
"Belarus";1978;NA
"Belgium";1978;2,84189649082269
"Bosnia and Herzegovina";1978;NA
"Bulgaria";1978;NA
"Croatia";1978;NA
"Cyprus";1978;7,77740335905037
"Czech Republic";1978;NA
"Denmark";1978;2,22630854042809
"Estonia";1978;NA
"Finland";1978;2,91970741193541
"France";1978;3,97854372235838
"Georgia";1978;7,42912769196221
"Germany";1978;3,00849285673846
"Greece";1978;7,24686343185905
"Hungary";1978;NA
"Iceland";1978;6,01671460450549
"Ireland";1978;7,1867303018398
"Israel";1978;5,55508730309833
"Italy";1978;3,24013975184891
"Latvia";1978;NA
"Lithuania";1978;NA
"Luxembourg";1978;4,07497250773974
"Macedonia";1978;NA
"Malta";1978;11,1611581906167
"Moldova";1978;NA
"Monaco";1978;3,95355130134929
"Montenegro";1978;NA
"Morocco";1978;2,23266338830095
"Netherlands";1978;2,69624696371605
"Norway";1978;3,86940625072467
"Poland";1978;NA
"Portugal";1978;2,81596615285167
"Romania";1978;NA
"Russia";1978;NA
"San Marino";1978;NA
"Serbia";1978;NA
"Serbia and Montenegro";1978;NA
"Slovakia";1978;NA
"Slovenia";1978;NA
"Spain";1978;1,46300344615614
"Sweden";1978;1,75154804977409
"Switzerland";1978;0,409083777734281
"Turkey";1978;1,50293301122329
"Ukraine";1978;NA
"United Kingdom";1978;4,20426042568425
"Yugoslavia";1978;NA
"Albania";1979;NA
"Andorra";1979;0,0415571951294567
"Armenia";1979;NA
"Australia";1979;4,04348669176025
"Austria";1979;5,35669990025116
"Azerbaijan";1979;NA
"Belarus";1979;NA
"Belgium";1979;2,34107295556814
"Bosnia and Herzegovina";1979;NA
"Bulgaria";1979;NA
"Croatia";1979;NA
"Cyprus";1979;9,90556938358054
"Czech Republic";1979;NA
"Denmark";1979;3,86911148264211
"Estonia";1979;NA
"Finland";1979;7,12192637149123
"France";1979;3,54998915669242
"Georgia";1979;7,37034607195648
"Germany";1979;4,15036334066737
"Greece";1979;3,28208019821201
"Hungary";1979;NA
"Iceland";1979;4,8605824854645
