From;To;Points given by voting;Points given to voted;Points given from voting to voted
Switzerland;Russia;1160;3005;18
Monaco;Russia;174;372;0
Luxembourg;Russia;0;0;0
Morocco;Russia;0;0;0
Yugoslavia;Russia;0;0;0
Albania;San Marino;812;91;13
Azerbaijan;San Marino;812;91;13
Georgia;San Marino;812;91;10
Hungary;San Marino;812;91;10
Moldova;San Marino;812;91;9
Macedonia;San Marino;812;91;8
Montenegro;San Marino;754;91;8
Greece;San Marino;812;91;6
Russia;San Marino;696;91;5
Armenia;San Marino;754;91;3
Croatia;San Marino;696;77;2
Serbia;San Marino;754;77;1
Belarus;San Marino;812;91;1
Iceland;San Marino;812;91;1
Malta;San Marino;812;91;1
Ukraine;San Marino;638;14;0
Cyprus;San Marino;754;77;0
Belgium;San Marino;812;91;0
Denmark;San Marino;812;91;0
Estonia;San Marino;812;91;0
Finland;San Marino;812;91;0
France;San Marino;812;91;0
Germany;San Marino;812;91;0
Ireland;San Marino;812;91;0
Israel;San Marino;812;91;0
Latvia;San Marino;812;91;0
Lithuania;San Marino;812;91;0
Netherlands;San Marino;812;91;0
Norway;San Marino;812;91;0
Slovenia;San Marino;812;91;0
Spain;San Marino;812;91;0
Sweden;San Marino;812;91;0
Switzerland;San Marino;812;91;0
United Kingdom;San Marino;812;91;0
Austria;San Marino;754;91;0
Italy;San Marino;754;91;0
Poland;San Marino;696;91;0
Romania;San Marino;696;91;0
Czech Republic;San Marino;580;77;0
Portugal;San Marino;638;91;0
Australia;San Marino;522;77;0
Luxembourg;San Marino;0;0;0
Monaco;San Marino;0;0;0
Morocco;San Marino;0;0;0
Serbia and Montenegro;San Marino;0;0;0
Yugoslavia;San Marino;0;0;0
Bulgaria;San Marino;580;0;0
Bosnia and Herzegovina;San Marino;290;0;0
Turkey;San Marino;174;0;0
Slovakia;San Marino;116;0;0
Andorra;San Marino;58;0;0
Montenegro;Serbia;812;1012;114
Macedonia;Serbia;928;1169;104
Slovenia;Serbia;928;1169;99
Bosnia and Herzegovina;Serbia;464;914;76
Croatia;Serbia;870;1116;88
Switzerland;Serbia;928;1169;86
Austria;Serbia;754;937;50
Bulgaria;Serbia;754;1027;34
France;Serbia;928;1169;34
Sweden;Serbia;928;1169;33
Norway;Serbia;928;1169;32
Germany;Serbia;928;1169;31
Netherlands;Serbia;928;1169;31
Poland;Serbia;812;955;25
Italy;Serbia;696;669;17
Czech Republic;Serbia;696;798;17
Hungary;Serbia;870;1097;23
Romania;Serbia;812;1054;21
Slovakia;Serbia;232;371;7
San Marino;Serbia;754;829;14
Greece;Serbia;928;1169;19
Australia;Serbia;522;370;6
Albania;Serbia;928;1169;16
Cyprus;Serbia;928;1169;16
Finland;Serbia;928;1169;16
Russia;Serbia;812;1169;16
Azerbaijan;Serbia;870;901;12
Iceland;Serbia;928;1169;14
Malta;Serbia;928;1169;14
Armenia;Serbia;870;955;11
Belgium;Serbia;928;1169;12
Portugal;Serbia;754;1054;10
Lithuania;Serbia;928;1169;10
Ukraine;Serbia;754;1027;8
Moldova;Serbia;928;1169;9
Belarus;Serbia;928;1169;8
Denmark;Serbia;928;1169;6
Georgia;Serbia;870;1169;6
Israel;Serbia;928;1169;5
Spain;Serbia;928;1169;5
Estonia;Serbia;928;1169;4
Ireland;Serbia;928;1169;4
Latvia;Serbia;928;1169;3
United Kingdom;Serbia;928;1169;3
Turkey;Serbia;348;799;0
Andorra;Serbia;174;428;0
Luxembourg;Serbia;0;0;0
Monaco;Serbia;0;0;0
Morocco;Serbia;0;0;0
Serbia and Montenegro;Serbia;0;0;0
Yugoslavia;Serbia;0;0;0
Croatia;Serbia and Montenegro;174;400;24
Switzerland;Serbia and Montenegro;174;400;24
Austria;Serbia and Montenegro;116;400;24
Bosnia and Herzegovina;Serbia and Montenegro;174;400;22
Slovenia;Serbia and Montenegro;174;400;22
Cyprus;Serbia and Montenegro;174;400;20
Macedonia;Serbia and Montenegro;174;400;20
France;Serbia and Montenegro;174;400;16
Russia;Serbia and Montenegro;174;400;16
Sweden;Serbia and Montenegro;174;400;16
Ukraine;Serbia and Montenegro;174;400;15
Greece;Serbia and Montenegro;174;400;14
Netherlands;Serbia and Montenegro;174;400;14
Romania;Serbia and Montenegro;174;400;14
Albania;Serbia and Montenegro;174;400;13
Germany;Serbia and Montenegro;174;400;13
Bulgaria;Serbia and Montenegro;116;137;4
Belarus;Serbia and Montenegro;174;400;10
Finland;Serbia and Montenegro;174;400;10
Turkey;Serbia and Montenegro;174;400;8
Denmark;Serbia and Montenegro;174;400;7
Iceland;Serbia and Montenegro;174;400;7
Israel;Serbia and Montenegro;174;400;7
Monaco;Serbia and Montenegro;174;400;7
Portugal;Serbia and Montenegro;174;400;7
Latvia;Serbia and Montenegro;174;400;6
Malta;Serbia and Montenegro;174;400;6
Norway;Serbia and Montenegro;174;400;6
Spain;Serbia and Montenegro;174;400;6
Hungary;Serbia and Montenegro;58;137;2
Poland;Serbia and Montenegro;174;400;5
Belgium;Serbia and Montenegro;174;400;3
Ireland;Serbia and Montenegro;174;400;3
United Kingdom;Serbia and Montenegro;174;400;3
Moldova;Serbia and Montenegro;116;137;1
Andorra;Serbia and Montenegro;174;400;2
Lithuania;Serbia and Montenegro;174;400;2
Estonia;Serbia and Montenegro;174;400;1
Australia;Serbia and Montenegro;0;0;0
Azerbaijan;Serbia and Montenegro;0;0;0
Czech Republic;Serbia and Montenegro;0;0;0
Georgia;Serbia and Montenegro;0;0;0
Italy;Serbia and Montenegro;0;0;0
Luxembourg;Serbia and Montenegro;0;0;0
Montenegro;Serbia and Montenegro;0;0;0
Morocco;Serbia and Montenegro;0;0;0
San Marino;Serbia and Montenegro;0;0;0
Serbia;Serbia and Montenegro;0;0;0
Slovakia;Serbia and Montenegro;0;0;0
Yugoslavia;Serbia and Montenegro;0;0;0
Armenia;Serbia and Montenegro;58;0;0
Australia;Slovakia;0;0;0
Luxembourg;Slovakia;0;0;0
Monaco;Slovakia;0;0;0
Morocco;Slovakia;0;0;0
Serbia and Montenegro;Slovakia;0;0;0
Yugoslavia;Slovakia;0;0;0
Albania;Slovakia;232;0;0
Azerbaijan;Slovakia;232;0;0
Belarus;Slovakia;232;0;0
Belgium;Slovakia;232;0;0
Bosnia and Herzegovina;Slovakia;232;0;0
Bulgaria;Slovakia;232;0;0
Croatia;Slovakia;232;0;0
Cyprus;Slovakia;232;0;0
Denmark;Slovakia;232;0;0
Estonia;Slovakia;232;0;0
Finland;Slovakia;232;0;0
France;Slovakia;232;0;0
Germany;Slovakia;232;0;0
Greece;Slovakia;232;0;0
Iceland;Slovakia;232;0;0
Ireland;Slovakia;232;0;0
Israel;Slovakia;232;0;0
Latvia;Slovakia;232;0;0
Lithuania;Slovakia;232;0;0
Macedonia;Slovakia;232;0;0
Malta;Slovakia;232;0;0
Moldova;Slovakia;232;0;0
Netherlands;Slovakia;232;0;0
Norway;Slovakia;232;0;0
Portugal;Slovakia;232;0;0
Romania;Slovakia;232;0;0
Russia;Slovakia;232;0;0
Serbia;Slovakia;232;0;0
Slovenia;Slovakia;232;0;0
Spain;Slovakia;232;0;0
Sweden;Slovakia;232;0;0
Switzerland;Slovakia;232;0;0
Turkey;Slovakia;232;0;0
Ukraine;Slovakia;232;0;0
United Kingdom;Slovakia;232;0;0
Armenia;Slovakia;174;0;0
Georgia;Slovakia;174;0;0
Hungary;Slovakia;174;0;0
Poland;Slovakia;174;0;0
Austria;Slovakia;116;0;0
Italy;Slovakia;116;0;0
Montenegro;Slovakia;116;0;0
San Marino;Slovakia;116;0;0
Andorra;Slovakia;58;0;0
Czech Republic;Slovakia;58;0;0
Bosnia and Herzegovina;Slovenia;812;272;34
Croatia;Slovenia;1218;441;55
Montenegro;Slovenia;870;283;30
Serbia;Slovenia;928;370;38
Macedonia;Slovenia;1218;412;33
Czech Republic;Slovenia;696;274;17
Poland;Slovenia;1160;456;25
Ukraine;Slovenia;1044;242;9
Russia;Slovenia;1218;489;18
Belarus;Slovenia;1160;379;13
Austria;Slovenia;1044;419;12
Estonia;Slovenia;1334;489;14
Israel;Slovenia;1334;489;14
Lithuania;Slovenia;1276;482;13
Latvia;Slovenia;1334;489;13
Spain;Slovenia;1334;489;13
Hungary;Slovenia;986;379;9
Azerbaijan;Slovenia;928;313;7
San Marino;Slovenia;812;313;7
Portugal;Slovenia;1102;456;10
Finland;Slovenia;1218;412;8
Iceland;Slovenia;1276;456;8
France;Slovenia;1334;489;8
Germany;Slovenia;1334;489;8
Malta;Slovenia;1334;489;8
Sweden;Slovenia;1334;489;8
Netherlands;Slovenia;1276;456;7
Norway;Slovenia;1276;456;7
Cyprus;Slovenia;1218;410;6
Denmark;Slovenia;1276;482;7
United Kingdom;Slovenia;1334;489;6
Romania;Slovenia;1160;419;5
Georgia;Slovenia;928;379;4
Slovakia;Slovenia;232;96;1
Ireland;Slovenia;1276;456;4
Greece;Slovenia;1334;489;4
Turkey;Slovenia;696;272;2
Switzerland;Slovenia;1218;412;2
Belgium;Slovenia;1276;419;2
Andorra;Slovenia;348;66;0
Bulgaria;Slovenia;870;226;0
Albania;Slovenia;1160;379;0
Moldova;Slovenia;1102;379;0
Armenia;Slovenia;986;379;0
Australia;Slovenia;522;208;0
Italy;Slovenia;754;313;0
Luxembourg;Slovenia;0;0;0
Morocco;Slovenia;0;0;0
Yugoslavia;Slovenia;0;0;0
Monaco;Slovenia;174;0;0
Serbia and Montenegro;Slovenia;174;0;0
Andorra;Spain;348;254;60
Portugal;Spain;1102;835;134
France;Spain;1392;1019;85
Switzerland;Spain;1276;862;63
Albania;Spain;1160;763;55
Australia;Spain;522;212;14
Israel;Spain;1392;1019;65
Cyprus;Spain;1276;869;51
Belgium;Spain;1334;943;52
Romania;Spain;1218;866;43
Greece;Spain;1334;1001;34
Italy;Spain;754;441;14
Netherlands;Spain;1334;938;25
United Kingdom;Spain;1392;1019;27
Armenia;Spain;986;551;13
Monaco;Spain;174;133;3
Sweden;Spain;1392;1019;22
Bosnia and Herzegovina;Spain;812;784;16
Moldova;Spain;1102;676;13
Norway;Spain;1334;938;18
Turkey;Spain;754;725;13
Bulgaria;Spain;870;533;9
Germany;Spain;1392;1019;16
Croatia;Spain;1276;930;13
Russia;Spain;1276;1014;14
Lithuania;Spain;1276;920;12
Slovenia;Spain;1334;1001;13
Estonia;Spain;1392;1019;13
Latvia;Spain;1392;1019;13
Iceland;Spain;1334;938;11
Montenegro;Spain;870;512;6
Poland;Spain;1160;815;9
Ireland;Spain;1334;938;10
Hungary;Spain;986;590;6
Denmark;Spain;1334;938;9
Finland;Spain;1276;862;8
Slovakia;Spain;232;238;2
Ukraine;Spain;1044;775;6
Austria;Spain;1102;779;6
Malta;Spain;1392;1019;7
Azerbaijan;Spain;928;587;4
Macedonia;Spain;1276;862;5
Serbia;Spain;928;556;2
Georgia;Spain;928;607;2
Belarus;Spain;1160;763;2
San Marino;Spain;812;496;1
Czech Republic;Spain;696;333;0
Serbia and Montenegro;Spain;174;133;0
Luxembourg;Spain;0;0;0
Morocco;Spain;0;0;0
Yugoslavia;Spain;0;0;0
Denmark;Sweden;1334;3176;210
Finland;Sweden;1276;3076;170
Norway;Sweden;1334;3211;165
Iceland;Sweden;1334;3211;150
Estonia;Sweden;1392;3283;145
Slovakia;Sweden;232;590;22
Australia;Sweden;522;1578;56
Andorra;Sweden;348;501;17
Latvia;Sweden;1392;3283;108
United Kingdom;Sweden;1392;3283;108
Malta;Sweden;1392;3283;101
Israel;Sweden;1392;3283;100
Netherlands;Sweden;1334;3211;96
Spain;Sweden;1392;3283;98
Czech Republic;Sweden;696;1709;51
Ireland;Sweden;1334;3211;95
Lithuania;Sweden;1276;3088;90
Slovenia;Sweden;1334;3195;93
Turkey;Sweden;754;1425;37
Belgium;Sweden;1334;3183;81
Poland;Sweden;1160;2689;68
Hungary;Sweden;986;2576;61
France;Sweden;1392;3283;77
Germany;Sweden;1392;3283;76
Armenia;Sweden;986;2344;54
Cyprus;Sweden;1276;2965;68
Romania;Sweden;1218;2922;67
Austria;Sweden;1102;2933;67
Monaco;Sweden;174;370;8
Ukraine;Sweden;1044;2324;50
Bosnia and Herzegovina;Sweden;812;1598;34
Georgia;Sweden;928;2513;53
Moldova;Sweden;1102;2746;55
Serbia;Sweden;928;2328;46
Switzerland;Sweden;1276;3076;58
Belarus;Sweden;1160;2916;53
Portugal;Sweden;1102;2800;50
Albania;Sweden;1160;2916;52
San Marino;Sweden;812;2462;40
Russia;Sweden;1276;2939;43
Macedonia;Sweden;1276;3076;45
Croatia;Sweden;1276;2700;39
Serbia and Montenegro;Sweden;174;370;5
Italy;Sweden;754;2415;27
Bulgaria;Sweden;870;1829;19
Montenegro;Sweden;870;2361;24
Greece;Sweden;1334;3195;30
Azerbaijan;Sweden;928;2495;21
Luxembourg;Sweden;0;0;0
Morocco;Sweden;0;0;0
Yugoslavia;Sweden;0;0;0
Slovakia;Switzerland;232;19;4
Monaco;Switzerland;174;158;14
Austria;Switzerland;1044;604;31
Armenia;Switzerland;986;477;20
Serbia;Switzerland;928;383;16
Estonia;Switzerland;1276;634;26
Ireland;Switzerland;1218;619;25
Netherlands;Switzerland;1218;619;25
Germany;Switzerland;1276;634;25
Malta;Switzerland;1276;634;24
United Kingdom;Switzerland;1276;634;23
Romania;Switzerland;1160;634;23
Poland;Switzerland;1044;605;21
Iceland;Switzerland;1218;619;19
Slovenia;Switzerland;1218;620;19
Croatia;Switzerland;1160;570;17
Belarus;Switzerland;1160;605;18
Portugal;Switzerland;986;605;18
Cyprus;Switzerland;1218;570;15
Israel;Switzerland;1276;634;16
Latvia;Switzerland;1276;634;16
Sweden;Switzerland;1276;634;16
Norway;Switzerland;1218;619;15
Finland;Switzerland;1276;634;15
Albania;Switzerland;1160;605;14
Greece;Switzerland;1218;620;14
Russia;Switzerland;1160;634;14
Hungary;Switzerland;986;575;12
Bosnia and Herzegovina;Switzerland;696;192;4
Ukraine;Switzerland;986;241;5
Denmark;Switzerland;1276;634;13
Spain;Switzerland;1276;634;13
Lithuania;Switzerland;1218;620;12
Australia;Switzerland;522;364;7
Belgium;Switzerland;1276;634;12
Azerbaijan;Switzerland;928;447;8
San Marino;Switzerland;812;447;7
Czech Republic;Switzerland;696;364;5
Montenegro;Switzerland;870;428;5
Italy;Switzerland;754;447;5
France;Switzerland;1276;634;7
Macedonia;Switzerland;1276;634;7
Georgia;Switzerland;928;447;4
Moldova;Switzerland;1102;605;4
Andorra;Switzerland;348;158;1
Bulgaria;Switzerland;870;177;0
Turkey;Switzerland;638;206;0
Serbia and Montenegro;Switzerland;174;158;0
Luxembourg;Switzerland;0;0;0
Morocco;Switzerland;0;0;0
Yugoslavia;Switzerland;0;0;0
France;Turkey;754;1434;123
Azerbaijan;Turkey;290;597;48
Netherlands;Turkey;696;1405;109
Germany;Turkey;754;1434;111
Belgium;Turkey;696;1393;91
Albania;Turkey;522;1138;71
Macedonia;Turkey;638;1226;74
Bosnia and Herzegovina;Turkey;696;1375;76
Austria;Turkey;464;817;45
Switzerland;Turkey;638;1226;63
Romania;Turkey;696;1393;68
Bulgaria;Turkey;464;943;46
United Kingdom;Turkey;754;1434;60
Denmark;Turkey;696;1267;50
San Marino;Turkey;174;250;9
Georgia;Turkey;290;583;20
Sweden;Turkey;754;1434;38
Norway;Turkey;696;1405;37
Croatia;Turkey;754;1434;36
Monaco;Turkey;174;378;8
Greece;Turkey;696;1375;29
Hungary;Turkey;348;682;14
Finland;Turkey;638;1226;25
Ukraine;Turkey;580;1305;21
Malta;Turkey;754;1434;21
Israel;Turkey;754;1434;14
Spain;Turkey;754;1434;14
Slovenia;Turkey;696;1375;12
Cyprus;Turkey;696;1393;12
Russia;Turkey;754;1434;12
Portugal;Turkey;638;1346;11
Poland;Turkey;580;1234;10
Belarus;Turkey;522;1138;9
Iceland;Turkey;696;1405;11
Montenegro;Turkey;232;590;4
Lithuania;Turkey;638;1208;8
Armenia;Turkey;348;739;4
Serbia and Montenegro;Turkey;174;378;2
Estonia;Turkey;754;1434;6
Serbia;Turkey;348;760;3
Andorra;Turkey;348;856;3
Czech Republic;Turkey;174;478;1
Ireland;Turkey;696;1405;2
Latvia;Turkey;754;1434;2
Moldova;Turkey;464;943;1
Italy;Turkey;116;112;0
Slovakia;Turkey;232;459;0
Australia;Turkey;0;0;0
Luxembourg;Turkey;0;0;0
Morocco;Turkey;0;0;0
Yugoslavia;Turkey;0;0;0
Azerbaijan;Ukraine;754;1665;108
Poland;Ukraine;928;2106;120
Moldova;Ukraine;928;2075;117
Belarus;Ukraine;986;2355;126
Georgia;Ukraine;754;1824;91
Italy;Ukraine;580;1251;62
Portugal;Ukraine;870;1637;74
Czech Republic;Ukraine;522;1241;56
Russia;Ukraine;928;2349;101
Israel;Ukraine;1044;2385;99
Latvia;Ukraine;1044;2385;96
Armenia;Ukraine;812;1980;70
Andorra;Ukraine;348;996;33
Lithuania;Ukraine;986;2355;78
Slovakia;Ukraine;232;408;13
Turkey;Ukraine;580;1358;39
Serbia;Ukraine;754;1787;51
Estonia;Ukraine;1044;2385;66
Serbia and Montenegro;Ukraine;174;455;12
Bulgaria;Ukraine;870;1962;50
Spain;Ukraine;1044;2385;57
Cyprus;Ukraine;986;2272;54
Greece;Ukraine;1044;2385;54
Croatia;Ukraine;986;2272;51
Macedonia;Ukraine;986;2355;51
Malta;Ukraine;1044;2385;50
Hungary;Ukraine;812;1822;38
Bosnia and Herzegovina;Ukraine;696;1892;38
San Marino;Ukraine;638;1481;29
United Kingdom;Ukraine;1044;2385;45
Monaco;Ukraine;174;455;8
Slovenia;Ukraine;1044;2385;41
Montenegro;Ukraine;696;1633;28
Ireland;Ukraine;1044;2385;37
Romania;Ukraine;928;1851;27
Denmark;Ukraine;986;2355;34
Australia;Ukraine;348;700;10
Finland;Ukraine;986;2355;33
Iceland;Ukraine;1044;2385;32
Austria;Ukraine;812;1826;24
Netherlands;Ukraine;1044;2385;31
Belgium;Ukraine;1044;2385;24
Germany;Ukraine;1044;2385;24
Norway;Ukraine;1044;2385;24
Sweden;Ukraine;1044;2385;23
Albania;Ukraine;986;2355;22
France;Ukraine;1044;2385;22
Switzerland;Ukraine;986;2355;12
Luxembourg;Ukraine;0;0;0
Morocco;Ukraine;0;0;0
Yugoslavia;Ukraine;0;0;0
Ireland;United Kingdom;1334;756;110
Australia;United Kingdom;522;237;29
Malta;United Kingdom;1392;867;87
San Marino;United Kingdom;812;426;31
Albania;United Kingdom;1160;700;31
Italy;United Kingdom;754;412;16
Latvia;United Kingdom;1392;867;30
Czech Republic;United Kingdom;696;443;15
Denmark;United Kingdom;1334;867;29
Estonia;United Kingdom;1392;867;28
Cyprus;United Kingdom;1276;799;25
Bulgaria;United Kingdom;870;615;19
Germany;United Kingdom;1392;867;25
Slovenia;United Kingdom;1334;839;23
Russia;United Kingdom;1276;756;20
Turkey;United Kingdom;754;567;15
Greece;United Kingdom;1334;839;22
Spain;United Kingdom;1392;867;21
Slovakia;United Kingdom;232;295;7
Armenia;United Kingdom;986;641;15
Portugal;United Kingdom;1102;643;15
Israel;United Kingdom;1392;867;19
Andorra;United Kingdom;348;278;6
Macedonia;United Kingdom;1276;839;18
Austria;United Kingdom;1102;617;13
Lithuania;United Kingdom;1276;839;17
Poland;United Kingdom;1160;693;14
Iceland;United Kingdom;1334;756;15
Bosnia and Herzegovina;United Kingdom;812;601;11
Croatia;United Kingdom;1276;822;14
Serbia;United Kingdom;928;588;10
Georgia;United Kingdom;928;455;7
Norway;United Kingdom;1334;756;11
France;United Kingdom;1392;867;12
Netherlands;United Kingdom;1334;756;10
Ukraine;United Kingdom;1044;684;9
Belgium;United Kingdom;1334;839;10
Finland;United Kingdom;1276;839;10
Azerbaijan;United Kingdom;928;609;7
Switzerland;United Kingdom;1276;839;9
Romania;United Kingdom;1218;777;8
Hungary;United Kingdom;986;636;6
Belarus;United Kingdom;1160;700;6
Moldova;United Kingdom;1102;671;5
Sweden;United Kingdom;1392;867;5
Montenegro;United Kingdom;870;518;2
Monaco;United Kingdom;174;72;0
Serbia and Montenegro;United Kingdom;174;72;0
Luxembourg;United Kingdom;0;0;0
Morocco;United Kingdom;0;0;0
Yugoslavia;United Kingdom;0;0;0
Albania;Yugoslavia;0;0;0
Andorra;Yugoslavia;0;0;0
Armenia;Yugoslavia;0;0;0
Australia;Yugoslavia;0;0;0
Austria;Yugoslavia;0;0;0
Azerbaijan;Yugoslavia;0;0;0
Belarus;Yugoslavia;0;0;0
Belgium;Yugoslavia;0;0;0
Bosnia and Herzegovina;Yugoslavia;0;0;0
Bulgaria;Yugoslavia;0;0;0
Croatia;Yugoslavia;0;0;0
Cyprus;Yugoslavia;0;0;0
Czech Republic;Yugoslavia;0;0;0
Denmark;Yugoslavia;0;0;0
Estonia;Yugoslavia;0;0;0
Finland;Yugoslavia;0;0;0
France;Yugoslavia;0;0;0
Georgia;Yugoslavia;0;0;0
Germany;Yugoslavia;0;0;0
Greece;Yugoslavia;0;0;0
Hungary;Yugoslavia;0;0;0
Iceland;Yugoslavia;0;0;0
Ireland;Yugoslavia;0;0;0
Israel;Yugoslavia;0;0;0
Italy;Yugoslavia;0;0;0
Latvia;Yugoslavia;0;0;0
Lithuania;Yugoslavia;0;0;0
Luxembourg;Yugoslavia;0;0;0
Macedonia;Yugoslavia;0;0;0
Malta;Yugoslavia;0;0;0
Moldova;Yugoslavia;0;0;0
Monaco;Yugoslavia;0;0;0
Montenegro;Yugoslavia;0;0;0
Morocco;Yugoslavia;0;0;0
Netherlands;Yugoslavia;0;0;0
Norway;Yugoslavia;0;0;0
Poland;Yugoslavia;0;0;0
Portugal;Yugoslavia;0;0;0
Romania;Yugoslavia;0;0;0
Russia;Yugoslavia;0;0;0
San Marino;Yugoslavia;0;0;0
Serbia;Yugoslavia;0;0;0
Serbia and Montenegro;Yugoslavia;0;0;0
Slovakia;Yugoslavia;0;0;0
Slovenia;Yugoslavia;0;0;0
Spain;Yugoslavia;0;0;0
Sweden;Yugoslavia;0;0;0
Switzerland;Yugoslavia;0;0;0
Turkey;Yugoslavia;0;0;0
Ukraine;Yugoslavia;0;0;0
United Kingdom;Yugoslavia;0;0;0
